N,set_cardinality,add_ds_card,mult_ds_card,count
46,8,15,31,1
46,8,15,32,2
46,8,15,34,4
46,8,15,35,5
46,8,15,36,71
46,8,16,31,1
46,8,16,33,1
46,8,16,34,4
46,8,16,35,19
46,8,16,36,116
46,8,17,30,1
46,8,17,31,2
46,8,17,32,5
46,8,17,33,9
46,8,17,34,19
46,8,17,35,89
46,8,17,36,529
46,8,18,28,1
46,8,18,30,1
46,8,18,31,3
46,8,18,32,5
46,8,18,33,28
46,8,18,34,30
46,8,18,35,187
46,8,18,36,985
46,8,19,30,7
46,8,19,31,10
46,8,19,32,16
46,8,19,33,62
46,8,19,34,93
46,8,19,35,516
46,8,19,36,2408
46,8,20,28,1
46,8,20,29,2
46,8,20,30,8
46,8,20,31,18
46,8,20,32,25
46,8,20,33,130
46,8,20,34,156
46,8,20,35,1014
46,8,20,36,4599
46,8,21,28,2
46,8,21,29,2
46,8,21,30,9
46,8,21,31,30
46,8,21,32,91
46,8,21,33,415
46,8,21,34,521
46,8,21,35,4182
46,8,21,36,16637
46,8,22,28,6
46,8,22,29,2
46,8,22,30,18
46,8,22,31,60
46,8,22,32,119
46,8,22,33,740
46,8,22,34,751
46,8,22,35,6518
46,8,22,36,27618
46,8,23,27,1
46,8,23,28,1
46,8,23,29,5
46,8,23,30,66
46,8,23,31,148
46,8,23,32,258
46,8,23,33,2034
46,8,23,34,2300
46,8,23,35,22970
46,8,23,36,89838
46,8,24,27,4
46,8,24,28,9
46,8,24,29,10
46,8,24,30,163
46,8,24,31,231
46,8,24,32,411
46,8,24,33,3701
46,8,24,34,4195
46,8,24,35,40921
46,8,24,36,161966
46,8,25,27,5
46,8,25,28,12
46,8,25,29,12
46,8,25,30,213
46,8,25,31,460
46,8,25,32,799
46,8,25,33,7866
46,8,25,34,8739
46,8,25,35,89282
46,8,25,36,350756
46,8,26,26,5
46,8,26,27,16
46,8,26,28,37
46,8,26,29,51
46,8,26,30,498
46,8,26,31,932
46,8,26,32,1856
46,8,26,33,17262
46,8,26,34,20050
46,8,26,35,219335
46,8,26,36,841662
46,8,27,26,6
46,8,27,27,26
46,8,27,28,48
46,8,27,29,65
46,8,27,30,833
46,8,27,31,1606
46,8,27,32,3158
46,8,27,33,30141
46,8,27,34,35120
46,8,27,35,378530
46,8,27,36,1485991
46,8,28,26,2
46,8,28,27,47
46,8,28,28,77
46,8,28,29,117
46,8,28,30,1506
46,8,28,31,2829
46,8,28,32,5422
46,8,28,33,58953
46,8,28,34,69523
46,8,28,35,795575
46,8,28,36,3073520
46,8,29,26,4
46,8,29,27,52
46,8,29,28,95
46,8,29,29,150
46,8,29,30,2111
46,8,29,31,4020
46,8,29,32,7604
46,8,29,33,93576
46,8,29,34,109784
46,8,29,35,1287644
46,8,29,36,4888754
46,8,30,23,1
46,8,30,26,6
46,8,30,27,46
46,8,30,28,95
46,8,30,29,120
46,8,30,30,2796
46,8,30,31,4276
46,8,30,32,9680
46,8,30,33,132457
46,8,30,34,149139
46,8,30,35,1865218
46,8,30,36,6930776
46,8,31,26,5
46,8,31,27,36
46,8,31,28,48
46,8,31,29,74
46,8,31,30,2909
46,8,31,31,3989
46,8,31,32,9233
46,8,31,33,148338
46,8,31,34,155699
46,8,31,35,2087680
46,8,31,36,7553187
46,8,32,26,2
46,8,32,27,17
46,8,32,28,27
46,8,32,29,38
46,8,32,30,2391
46,8,32,31,2199
46,8,32,32,6164
46,8,32,33,119926
46,8,32,34,112972
46,8,32,35,1644074
46,8,32,36,5782679
46,8,33,26,2
46,8,33,27,4
46,8,33,28,8
46,8,33,29,10
46,8,33,30,1454
46,8,33,31,736
46,8,33,32,2415
46,8,33,33,60643
46,8,33,34,48305
46,8,33,35,781116
46,8,33,36,2691839
46,8,34,26,3
46,8,34,28,1
46,8,34,30,524
46,8,34,31,125
46,8,34,32,409
46,8,34,33,14074
46,8,34,34,8583
46,8,34,35,161210
46,8,34,36,556800
46,8,35,30,41
46,8,35,31,8
46,8,35,32,19
46,8,35,33,587
46,8,35,34,328
46,8,35,35,6441
46,8,35,36,22634
46,8,36,31,1
46,8,36,33,1
46,8,36,34,3
46,8,36,35,27
46,8,36,36,99
47,8,15,31,2
47,8,15,32,2
47,8,15,34,5
47,8,15,35,7
47,8,15,36,84
47,8,16,30,1
47,8,16,31,2
47,8,16,32,1
47,8,16,33,2
47,8,16,34,4
47,8,16,35,24
47,8,16,36,137
47,8,17,28,1
47,8,17,30,1
47,8,17,31,5
47,8,17,32,5
47,8,17,33,15
47,8,17,34,28
47,8,17,35,119
47,8,17,36,622
47,8,18,28,1
47,8,18,30,2
47,8,18,31,6
47,8,18,32,7
47,8,18,33,41
47,8,18,34,41
47,8,18,35,239
47,8,18,36,1176
47,8,19,30,10
47,8,19,31,16
47,8,19,32,21
47,8,19,33,91
47,8,19,34,126
47,8,19,35,654
47,8,19,36,2879
47,8,20,27,1
47,8,20,28,2
47,8,20,29,2
47,8,20,30,18
47,8,20,31,23
47,8,20,32,37
47,8,20,33,179
47,8,20,34,228
47,8,20,35,1280
47,8,20,36,5549
47,8,21,27,1
47,8,21,28,2
47,8,21,29,2
47,8,21,30,31
47,8,21,31,46
47,8,21,32,137
47,8,21,33,636
47,8,21,34,737
47,8,21,35,5525
47,8,21,36,21310
47,8,22,26,2
47,8,22,27,6
47,8,22,28,10
47,8,22,29,3
47,8,22,30,51
47,8,22,31,98
47,8,22,32,201
47,8,22,33,1107
47,8,22,34,1102
47,8,22,35,8692
47,8,22,36,35049
47,8,23,27,4
47,8,23,28,11
47,8,23,29,21
47,8,23,30,170
47,8,23,31,276
47,8,23,32,440
47,8,23,33,3058
47,8,23,34,3324
47,8,23,35,31294
47,8,23,36,120066
47,8,24,26,2
47,8,24,27,11
47,8,24,28,18
47,8,24,29,21
47,8,24,30,286
47,8,24,31,440
47,8,24,32,761
47,8,24,33,5722
47,8,24,34,6289
47,8,24,35,56396
47,8,24,36,218911
47,8,25,26,1
47,8,25,27,15
47,8,25,28,28
47,8,25,29,28
47,8,25,30,456
47,8,25,31,719
47,8,25,32,1475
47,8,25,33,12781
47,8,25,34,12839
47,8,25,35,123992
47,8,25,36,485907
47,8,26,26,13
47,8,26,27,35
47,8,26,28,72
47,8,26,29,101
47,8,26,30,1080
47,8,26,31,1455
47,8,26,32,3218
47,8,26,33,28623
47,8,26,34,30244
47,8,26,35,317673
47,8,26,36,1234067
47,8,27,26,24
47,8,27,27,48
47,8,27,28,85
47,8,27,29,149
47,8,27,30,1717
47,8,27,31,2504
47,8,27,32,5409
47,8,27,33,48357
47,8,27,34,53437
47,8,27,35,556353
47,8,27,36,2233203
47,8,28,22,1
47,8,28,26,11
47,8,28,27,86
47,8,28,28,147
47,8,28,29,247
47,8,28,30,3244
47,8,28,31,4650
47,8,28,32,9891
47,8,28,33,100307
47,8,28,34,111812
47,8,28,35,1237236
47,8,28,36,4957713
47,8,29,23,2
47,8,29,25,1
47,8,29,26,27
47,8,29,27,106
47,8,29,28,211
47,8,29,29,371
47,8,29,30,4905
47,8,29,31,7036
47,8,29,32,14864
47,8,29,33,166452
47,8,29,34,186179
47,8,29,35,2119494
47,8,29,36,8572557
47,8,30,23,1
47,8,30,24,1
47,8,30,25,2
47,8,30,26,50
47,8,30,27,106
47,8,30,28,227
47,8,30,29,309
47,8,30,30,7251
47,8,30,31,8205
47,8,30,32,20710
47,8,30,33,254727
47,8,30,34,277308
47,8,30,35,3387886
47,8,30,36,13678942
47,8,31,26,48
47,8,31,27,76
47,8,31,28,163
47,8,31,29,280
47,8,31,30,8039
47,8,31,31,8153
47,8,31,32,22477
47,8,31,33,311630
47,8,31,34,328477
47,8,31,35,4289788
47,8,31,36,17164253
47,8,32,26,35
47,8,32,27,34
47,8,32,28,88
47,8,32,29,164
47,8,32,30,7707
47,8,32,31,5326
47,8,32,32,17861
47,8,32,33,292597
47,8,32,34,284573
47,8,32,35,3996959
47,8,32,36,15773789
47,8,33,26,33
47,8,33,27,8
47,8,33,28,36
47,8,33,29,67
47,8,33,30,5376
47,8,33,31,2281
47,8,33,32,9171
47,8,33,33,177802
47,8,33,34,155107
47,8,33,35,2345236
47,8,33,36,9143508
47,8,34,26,21
47,8,34,28,7
47,8,34,29,4
47,8,34,30,2233
47,8,34,31,521
47,8,34,32,2237
47,8,34,33,56541
47,8,34,34,40734
47,8,34,35,685076
47,8,34,36,2676413
47,8,35,26,3
47,8,35,30,198
47,8,35,31,31
47,8,35,32,122
47,8,35,33,4151
47,8,35,34,2792
47,8,35,35,49891
47,8,35,36,204044
47,8,36,30,3
47,8,36,31,1
47,8,36,33,43
47,8,36,34,31
47,8,36,35,521
47,8,36,36,2192
48,8,15,30,2
48,8,15,31,3
48,8,15,32,3
48,8,15,34,6
48,8,15,35,10
48,8,15,36,89
48,8,16,30,3
48,8,16,31,3
48,8,16,32,2
48,8,16,33,4
48,8,16,34,6
48,8,16,35,29
48,8,16,36,147
48,8,17,27,2
48,8,17,28,2
48,8,17,30,3
48,8,17,31,10
48,8,17,32,10
48,8,17,33,25
48,8,17,34,42
48,8,17,35,139
48,8,17,36,665
48,8,18,26,2
48,8,18,27,2
48,8,18,28,3
48,8,18,30,6
48,8,18,31,20
48,8,18,32,12
48,8,18,33,64
48,8,18,34,61
48,8,18,35,289
48,8,18,36,1255
48,8,19,27,2
48,8,19,28,2
48,8,19,30,21
48,8,19,31,32
48,8,19,32,40
48,8,19,33,134
48,8,19,34,179
48,8,19,35,783
48,8,19,36,3088
48,8,20,27,4
48,8,20,28,5
48,8,20,29,4
48,8,20,30,53
48,8,20,31,59
48,8,20,32,68
48,8,20,33,291
48,8,20,34,318
48,8,20,35,1524
48,8,20,36,5954
48,8,21,26,6
48,8,21,27,9
48,8,21,28,10
48,8,21,29,10
48,8,21,30,84
48,8,21,31,135
48,8,21,32,259
48,8,21,33,995
48,8,21,34,1024
48,8,21,35,6788
48,8,21,36,24220
48,8,22,26,6
48,8,22,27,19
48,8,22,28,32
48,8,22,29,17
48,8,22,30,177
48,8,22,31,185
48,8,22,32,372
48,8,22,33,1651
48,8,22,34,1547
48,8,22,35,10613
48,8,22,36,39889
48,8,23,22,1
48,8,23,26,5
48,8,23,27,15
48,8,23,28,52
48,8,23,29,62
48,8,23,30,372
48,8,23,31,544
48,8,23,32,861
48,8,23,33,4464
48,8,23,34,4741
48,8,23,35,39315
48,8,23,36,141014
48,8,24,26,10
48,8,24,27,30
48,8,24,28,75
48,8,24,29,56
48,8,24,30,575
48,8,24,31,890
48,8,24,32,1408
48,8,24,33,8346
48,8,24,34,9006
48,8,24,35,70577
48,8,24,36,259438
48,8,25,22,1
48,8,25,26,12
48,8,25,27,74
48,8,25,28,146
48,8,25,29,131
48,8,25,30,980
48,8,25,31,1649
48,8,25,32,2891
48,8,25,33,18762
48,8,25,34,18183
48,8,25,35,157543
48,8,25,36,583618
48,8,26,23,6
48,8,26,24,4
48,8,26,26,19
48,8,26,27,131
48,8,26,28,188
48,8,26,29,231
48,8,26,30,2023
48,8,26,31,2785
48,8,26,32,5933
48,8,26,33,42076
48,8,26,34,44722
48,8,26,35,418456
48,8,26,36,1536841
48,8,27,23,4
48,8,27,24,3
48,8,27,25,1
48,8,27,26,63
48,8,27,27,144
48,8,27,28,356
48,8,27,29,360
48,8,27,30,3618
48,8,27,31,4993
48,8,27,32,9730
48,8,27,33,72000
48,8,27,34,78797
48,8,27,35,742702
48,8,27,36,2817811
48,8,28,22,3
48,8,28,23,2
48,8,28,26,43
48,8,28,27,181
48,8,28,28,455
48,8,28,29,582
48,8,28,30,6328
48,8,28,31,8868
48,8,28,32,18464
48,8,28,33,153128
48,8,28,34,169954
48,8,28,35,1712356
48,8,28,36,6507143
48,8,29,22,2
48,8,29,23,9
48,8,29,24,7
48,8,29,25,7
48,8,29,26,75
48,8,29,27,302
48,8,29,28,652
48,8,29,29,912
48,8,29,30,9259
48,8,29,31,13909
48,8,29,32,29082
48,8,29,33,261163
48,8,29,34,298881
48,8,29,35,3058842
48,8,29,36,11709046
48,8,30,22,1
48,8,30,23,4
48,8,30,24,8
48,8,30,25,13
48,8,30,26,124
48,8,30,27,307
48,8,30,28,771
48,8,30,29,1001
48,8,30,30,14066
48,8,30,31,17865
48,8,30,32,43130
48,8,30,33,428377
48,8,30,34,477951
48,8,30,35,5228686
48,8,30,36,19885230
48,8,31,24,2
48,8,31,25,3
48,8,31,26,139
48,8,31,27,161
48,8,31,28,636
48,8,31,29,967
48,8,31,30,17165
48,8,31,31,19053
48,8,31,32,51277
48,8,31,33,566212
48,8,31,34,623141
48,8,31,35,7185921
48,8,31,36,26916573
48,8,32,24,1
48,8,32,25,4
48,8,32,26,145
48,8,32,27,71
48,8,32,28,391
48,8,32,29,765
48,8,32,30,18484
48,8,32,31,14111
48,8,32,32,46680
48,8,32,33,593731
48,8,32,34,609793
48,8,32,35,7488054
48,8,32,36,27397537
48,8,33,26,135
48,8,33,27,22
48,8,33,28,157
48,8,33,29,371
48,8,33,30,14481
48,8,33,31,8089
48,8,33,32,27022
48,8,33,33,409733
48,8,33,34,379443
48,8,33,35,5004129
48,8,33,36,17924457
48,8,34,26,116
48,8,34,27,4
48,8,34,28,58
48,8,34,29,87
48,8,34,30,7592
48,8,34,31,2571
48,8,34,32,8554
48,8,34,33,158563
48,8,34,34,122037
48,8,34,35,1779140
48,8,34,36,6263042
48,8,35,26,36
48,8,35,27,2
48,8,35,28,9
48,8,35,29,9
48,8,35,30,1222
48,8,35,31,365
48,8,35,32,879
48,8,35,33,17559
48,8,35,34,11431
48,8,35,35,182345
48,8,35,36,636386
48,8,36,26,9
48,8,36,30,36
48,8,36,31,12
48,8,36,32,15
48,8,36,33,310
48,8,36,34,206
48,8,36,35,3015
48,8,36,36,10572
49,8,15,30,2
49,8,15,31,3
49,8,15,32,3
49,8,15,34,7
49,8,15,35,11
49,8,15,36,98
49,8,16,30,3
49,8,16,31,3
49,8,16,32,2
49,8,16,33,5
49,8,16,34,6
49,8,16,35,31
49,8,16,36,163
49,8,17,27,2
49,8,17,28,2
49,8,17,30,3
49,8,17,31,10
49,8,17,32,11
49,8,17,33,26
49,8,17,34,46
49,8,17,35,155
49,8,17,36,731
49,8,18,26,2
49,8,18,27,2
49,8,18,28,3
49,8,18,30,6
49,8,18,31,21
49,8,18,32,13
49,8,18,33,68
49,8,18,34,67
49,8,18,35,341
49,8,18,36,1371
49,8,19,27,2
49,8,19,28,2
49,8,19,29,2
49,8,19,30,22
49,8,19,31,33
49,8,19,32,44
49,8,19,33,148
49,8,19,34,199
49,8,19,35,929
49,8,19,36,3367
49,8,20,27,4
49,8,20,28,5
49,8,20,29,5
49,8,20,30,53
49,8,20,31,65
49,8,20,32,73
49,8,20,33,317
49,8,20,34,357
49,8,20,35,1775
49,8,20,36,6522
49,8,21,26,6
49,8,21,27,9
49,8,21,28,10
49,8,21,29,11
49,8,21,30,86
49,8,21,31,141
49,8,21,32,318
49,8,21,33,1112
49,8,21,34,1154
49,8,21,35,7892
49,8,21,36,27432
49,8,22,26,6
49,8,22,27,19
49,8,22,28,34
49,8,22,29,23
49,8,22,30,185
49,8,22,31,196
49,8,22,32,410
49,8,22,33,1814
49,8,22,34,1780
49,8,22,35,12292
49,8,22,36,45181
49,8,23,22,1
49,8,23,26,5
49,8,23,27,15
49,8,23,28,53
49,8,23,29,75
49,8,23,30,398
49,8,23,31,572
49,8,23,32,981
49,8,23,33,4982
49,8,23,34,5487
49,8,23,35,45592
49,8,23,36,163021
49,8,24,26,11
49,8,24,27,30
49,8,24,28,79
49,8,24,29,69
49,8,24,30,635
49,8,24,31,957
49,8,24,32,1628
49,8,24,33,9537
49,8,24,34,10465
49,8,24,35,82490
49,8,24,36,300247
49,8,25,22,1
49,8,25,26,12
49,8,25,27,79
49,8,25,28,153
49,8,25,29,153
49,8,25,30,1107
49,8,25,31,1778
49,8,25,32,3407
49,8,25,33,21387
49,8,25,34,21574
49,8,25,35,185739
49,8,25,36,681346
49,8,26,23,6
49,8,26,24,4
49,8,26,25,1
49,8,26,26,20
49,8,26,27,137
49,8,26,28,206
49,8,26,29,278
49,8,26,30,2376
49,8,26,31,3142
49,8,26,32,7137
49,8,26,33,49156
49,8,26,34,54888
49,8,26,35,504003
49,8,26,36,1842274
49,8,27,23,4
49,8,27,24,3
49,8,27,25,1
49,8,27,26,68
49,8,27,27,150
49,8,27,28,386
49,8,27,29,441
49,8,27,30,4212
49,8,27,31,5545
49,8,27,32,11624
49,8,27,33,84061
49,8,27,34,97502
49,8,27,35,901770
49,8,27,36,3407038
49,8,28,22,3
49,8,28,23,2
49,8,28,25,1
49,8,28,26,54
49,8,28,27,198
49,8,28,28,500
49,8,28,29,711
49,8,28,30,7556
49,8,28,31,10221
49,8,28,32,22672
49,8,28,33,182030
49,8,28,34,216825
49,8,28,35,2132286
49,8,28,36,8078099
49,8,29,22,2
49,8,29,23,9
49,8,29,24,7
49,8,29,25,7
49,8,29,26,92
49,8,29,27,347
49,8,29,28,708
49,8,29,29,1096
49,8,29,30,11248
49,8,29,31,16397
49,8,29,32,36459
49,8,29,33,315836
49,8,29,34,391623
49,8,29,35,3907460
49,8,29,36,14953144
49,8,30,22,1
49,8,30,23,4
49,8,30,24,8
49,8,30,25,13
49,8,30,26,154
49,8,30,27,348
49,8,30,28,887
49,8,30,29,1281
49,8,30,30,17556
49,8,30,31,22361
49,8,30,32,55805
49,8,30,33,535977
49,8,30,34,663092
49,8,30,35,6989097
49,8,30,36,26551779
49,8,31,23,1
49,8,31,24,2
49,8,31,25,3
49,8,31,26,181
49,8,31,27,215
49,8,31,28,824
49,8,31,29,1310
49,8,31,30,22051
49,8,31,31,25542
49,8,31,32,70385
49,8,31,33,740521
49,8,31,34,925581
49,8,31,35,10124359
49,8,31,36,37944022
49,8,32,24,1
49,8,32,25,4
49,8,32,26,234
49,8,32,27,108
49,8,32,28,574
49,8,32,29,1090
49,8,32,30,25049
49,8,32,31,21396
49,8,32,32,68344
49,8,32,33,824328
49,8,32,34,987278
49,8,32,35,11366531
49,8,32,36,41586464
49,8,33,26,200
49,8,33,27,58
49,8,33,28,321
49,8,33,29,600
49,8,33,30,20444
49,8,33,31,14138
